GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AV2001
"G1300395","1890","Georgia","130","Campbell","0395","Campbell",5621
"G1300450","1890","Georgia","130","Carroll","0450","Carroll",18450
"G1300470","1890","Georgia","130","Catoosa","0470","Catoosa",4795
"G1300490","1890","Georgia","130","Charlton","0490","Charlton",2465
"G1300510","1890","Georgia","130","Chatham","0510","Chatham",22965
"G1300530","1890","Georgia","130","Chattahoochee","0530","Chattahoochee",1837
"G1300550","1890","Georgia","130","Chattooga","0550","Chattooga",9204
"G1300570","1890","Georgia","130","Cherokee","0570","Cherokee",13904
"G1300590","1890","Georgia","130","Clarke","0590","Clarke",7072
"G1300610","1890","Georgia","130","Clay","0610","Clay",3002
"G1300630","1890","Georgia","130","Clayton","0630","Clayton",5220
"G1300650","1890","Georgia","130","Clinch","0650","Clinch",4292
"G1300670","1890","Georgia","130","Cobb","0670","Cobb",15510
"G1300690","1890","Georgia","130","Coffee","0690","Coffee",6621
"G1300710","1890","Georgia","130","Colquitt","0710","Colquitt",4317
"G1300730","1890","Georgia","130","Columbia","0730","Columbia",3243
"G1300770","1890","Georgia","130","Coweta","0770","Coweta",9740
"G1300790","1890","Georgia","130","Crawford","0790","Crawford",4159
"G1300830","1890","Georgia","130","Dade","0830","Dade",4614
"G1300850","1890","Georgia","130","Dawson","0850","Dawson",5353
"G1300870","1890","Georgia","130","Decatur","0870","Decatur",9116
"G1300890","1890","Georgia","130","DeKalb","0890","De Kalb",11214
"G1300910","1890","Georgia","130","Dodge","0910","Dodge",6143
"G1300930","1890","Georgia","130","Dooly","0930","Dooly",9232
"G1300950","1890","Georgia","130","Dougherty","0950","Dougherty",1975
"G1300970","1890","Georgia","130","Douglas","0970","Douglas",5993
"G1300990","1890","Georgia","130","Early","0990","Early",3670
"G1301010","1890","Georgia","130","Echols","1010","Echols",2059
"G1301030","1890","Georgia","130","Effingham","1030","Effingham",3388
"G1301050","1890","Georgia","130","Elbert","1050","Elbert",7492
"G1301070","1890","Georgia","130","Emanuel","1070","Emanuel",9396
"G1301110","1890","Georgia","130","Fannin","1110","Fannin",8612
"G1301130","1890","Georgia","130","Fayette","1130","Fayette",5654
"G1301150","1890","Georgia","130","Floyd","1150","Floyd",17970
"G1301170","1890","Georgia","130","Forsyth","1170","Forsyth",9866
"G1301190","1890","Georgia","130","Franklin","1190","Franklin",11372
"G1301210","1890","Georgia","130","Fulton","1210","Fulton",49238
"G1301230","1890","Georgia","130","Gilmer","1230","Gilmer",9005
"G1301250","1890","Georgia","130","Glascock","1250","Glascock",2552
"G1301270","1890","Georgia","130","Glynn","1270","Glynn",5669
"G1301290","1890","Georgia","130","Gordon","1290","Gordon",11030
"G1301330","1890","Georgia","130","Greene","1330","Greene",5332
"G1301350","1890","Georgia","130","Gwinnett","1350","Gwinnett",16903
"G1301370","1890","Georgia","130","Habersham","1370","Habersham",9984
"G1301390","1890","Georgia","130","Hall","1390","Hall",15280
"G1301410","1890","Georgia","130","Hancock","1410","Hancock",4739
"G1301430","1890","Georgia","130","Haralson","1430","Haralson",10199
"G1301450","1890","Georgia","130","Harris","1450","Harris",5999
"G1301470","1890","Georgia","130","Hart","1470","Hart",7930
"G1301490","1890","Georgia","130","Heard","1490","Heard",6215
"G1301510","1890","Georgia","130","Henry","1510","Henry",8629
"G1301530","1890","Georgia","130","Houston","1530","Houston",5272
"G1301550","1890","Georgia","130","Irwin","1550","Irwin",4241
"G1301570","1890","Georgia","130","Jackson","1570","Jackson",13780
"G1301590","1890","Georgia","130","Jasper","1590","Jasper",5392
"G1301630","1890","Georgia","130","Jefferson","1630","Jefferson",6450
"G1301670","1890","Georgia","130","Johnson","1670","Johnson",4673
"G1301690","1890","Georgia","130","Jones","1690","Jones",3931
"G1301750","1890","Georgia","130","Laurens","1750","Laurens",7654
"G1301770","1890","Georgia","130","Lee","1770","Lee",1432
"G1301790","1890","Georgia","130","Liberty","1790","Liberty",4207
"G1301810","1890","Georgia","130","Lincoln","1810","Lincoln",2473
"G1301850","1890","Georgia","130","Lowndes","1850","Lowndes",7128
"G1301870","1890","Georgia","130","Lumpkin","1870","Lumpkin",6453
"G1301890","1890","Georgia","130","McDuffie","1890","Mcduffie",3267
"G1301910","1890","Georgia","130","McIntosh","1910","Mcintosh",1258
"G1301930","1890","Georgia","130","Macon","1930","Macon",4001
"G1301950","1890","Georgia","130","Madison","1950","Madison",7361
"G1301970","1890","Georgia","130","Marion","1970","Marion",3467
"G1301990","1890","Georgia","130","Meriwether","1990","Meriwether",9201
"G1302010","1890","Georgia","130","Miller","2010","Miller",2701
"G1302015","1890","Georgia","130","Milton","2015","Milton",5536
"G1302050","1890","Georgia","130","Mitchell","2050","Mitchell",4800
"G1302070","1890","Georgia","130","Monroe","2070","Monroe",6621
"G1302090","1890","Georgia","130","Montgomery","2090","Montgomery",5590
"G1302110","1890","Georgia","130","Morgan","2110","Morgan",5043
"G1302130","1890","Georgia","130","Murray","2130","Murray",7977
"G1302150","1890","Georgia","130","Muscogee","2150","Muscogee",12395
"G1302170","1890","Georgia","130","Newton","2170","Newton",7146
"G1302190","1890","Georgia","130","Oconee","2190","Oconee",3881
"G1302210","1890","Georgia","130","Oglethorpe","2210","Oglethorpe",5686
"G1302230","1890","Georgia","130","Paulding","2230","Paulding",10443
"G1302270","1890","Georgia","130","Pickens","2270","Pickens",7832
"G1302290","1890","Georgia","130","Pierce","2290","Pierce",4396
"G1302310","1890","Georgia","130","Pike","2310","Pike",8223
"G1302330","1890","Georgia","130","Polk","2330","Polk",10289
