GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A86001
"G1200370","1920","Florida","120","Franklin","0370","Franklin",2830
"G1200390","1920","Florida","120","Gadsden","0390","Gadsden",8727
"G1200470","1920","Florida","120","Hamilton","0470","Hamilton",5610
"G1200530","1920","Florida","120","Hernando","0530","Hernando",2723
"G1200570","1920","Florida","120","Hillsborough","0570","Hillsborough",71629
"G1200590","1920","Florida","120","Holmes","0590","Holmes",11816
"G1200630","1920","Florida","120","Jackson","0630","Jackson",17902
"G1200650","1920","Florida","120","Jefferson","0650","Jefferson",3981
"G1200670","1920","Florida","120","Lafayette","0670","Lafayette",5129
"G1200690","1920","Florida","120","Lake","0690","Lake",8927
"G1200710","1920","Florida","120","Lee","0710","Lee",8027
"G1200730","1920","Florida","120","Leon","0730","Leon",5892
"G1200750","1920","Florida","120","Levy","0750","Levy",5961
"G1200770","1920","Florida","120","Liberty","0770","Liberty",2764
"G1200790","1920","Florida","120","Madison","0790","Madison",8021
"G1200810","1920","Florida","120","Manatee","0810","Manatee",12901
"G1200830","1920","Florida","120","Marion","0830","Marion",11080
"G1200870","1920","Florida","120","Monroe","0870","Monroe",15208
"G1200890","1920","Florida","120","Nassau","0890","Nassau",6310
"G1200910","1920","Florida","120","Okaloosa","0910","Okaloosa",7520
"G1200930","1920","Florida","120","Okeechobee","0930","Okeechobee",1887
"G1200950","1920","Florida","120","Orange","0950","Orange",14423
"G1200970","1920","Florida","120","Osceola","0970","Osceola",6072
"G1200990","1920","Florida","120","Palm Beach","0990","Palm Beach",13042
"G1201010","1920","Florida","120","Pasco","1010","Pasco",6704
"G1201030","1920","Florida","120","Pinellas","1030","Pinellas",23701
"G1201050","1920","Florida","120","Polk","1050","Polk",29302
"G1201070","1920","Florida","120","Putnam","1070","Putnam",7822
"G1201090","1920","Florida","120","St Johns","1090","St Johns",8335
"G1201110","1920","Florida","120","St Lucie","1110","St Lucie",5967
"G1201130","1920","Florida","120","Santa Rosa","1130","Santa Rosa",10821
"G1201170","1920","Florida","120","Seminole","1170","Seminole",5933
"G1201190","1920","Florida","120","Sumter","1190","Sumter",5633
"G1201210","1920","Florida","120","Suwannee","1210","Suwannee",11842
"G1201230","1920","Florida","120","Taylor","1230","Taylor",6671
"G1201270","1920","Florida","120","Volusia","1270","Volusia",15159
"G1201290","1920","Florida","120","Wakulla","1290","Wakulla",2768
"G1201310","1920","Florida","120","Walton","1310","Walton",9688
"G1201330","1920","Florida","120","Washington","1330","Washington",8871
"G1300010","1920","Georgia","130","Appling","0010","Appling",8282
"G1300030","1920","Georgia","130","Atkinson","0030","Atkinson",5177
"G1300050","1920","Georgia","130","Bacon","0050","Bacon",5608
"G1300070","1920","Georgia","130","Baker","0070","Baker",2684
"G1300090","1920","Georgia","130","Baldwin","0090","Baldwin",8771
"G1300110","1920","Georgia","130","Banks","0110","Banks",9266
"G1300130","1920","Georgia","130","Barrow","0130","Barrow",10136
"G1300150","1920","Georgia","130","Bartow","0150","Bartow",18861
"G1300170","1920","Georgia","130","Ben Hill","0170","Ben Hill",9039
"G1300190","1920","Georgia","130","Berrien","0190","Berrien",11559
"G1300210","1920","Georgia","130","Bibb","0210","Bibb",38275
"G1300230","1920","Georgia","130","Bleckley","0230","Bleckley",5917
"G1300270","1920","Georgia","130","Brooks","0270","Brooks",10291
"G1300290","1920","Georgia","130","Bryan","0290","Bryan",3423
"G1300310","1920","Georgia","130","Bulloch","0310","Bulloch",16088
"G1300330","1920","Georgia","130","Burke","0330","Burke",6060
"G1300350","1920","Georgia","130","Butts","0350","Butts",5739
"G1300370","1920","Georgia","130","Calhoun","0370","Calhoun",3205
"G1300390","1920","Georgia","130","Camden","0390","Camden",2696
"G1300395","1920","Georgia","130","Campbell","0395","Campbell",7556
"G1300430","1920","Georgia","130","Candler","0430","Candler",5491
"G1300450","1920","Georgia","130","Carroll","0450","Carroll",27486
"G1300470","1920","Georgia","130","Catoosa","0470","Catoosa",6336
"G1300490","1920","Georgia","130","Charlton","0490","Charlton",3588
"G1300510","1920","Georgia","130","Chatham","0510","Chatham",50751
"G1300530","1920","Georgia","130","Chattahoochee","0530","Chattahoochee",3296
"G1300550","1920","Georgia","130","Chattooga","0550","Chattooga",12013
"G1300570","1920","Georgia","130","Cherokee","0570","Cherokee",17679
"G1300590","1920","Georgia","130","Clarke","0590","Clarke",13914
"G1300610","1920","Georgia","130","Clay","0610","Clay",2483
"G1300630","1920","Georgia","130","Clayton","0630","Clayton",6153
"G1300650","1920","Georgia","130","Clinch","0650","Clinch",5027
"G1300670","1920","Georgia","130","Cobb","0670","Cobb",23791
"G1300690","1920","Georgia","130","Coffee","0690","Coffee",12750
"G1300710","1920","Georgia","130","Colquitt","0710","Colquitt",20874
"G1300730","1920","Georgia","130","Columbia","0730","Columbia",3467
"G1300750","1920","Georgia","130","Cook","0750","Cook",7904
"G1300770","1920","Georgia","130","Coweta","0770","Coweta",13447
"G1300790","1920","Georgia","130","Crawford","0790","Crawford",3695
"G1300810","1920","Georgia","130","Crisp","0810","Crisp",9065
"G1300830","1920","Georgia","130","Dade","0830","Dade",3688
"G1300850","1920","Georgia","130","Dawson","0850","Dawson",4204
"G1300870","1920","Georgia","130","Decatur","0870","Decatur",15294
