GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A7L001
"G1200090","1920","Florida","120","Brevard","0090","Brevard",8505
"G1200110","1920","Florida","120","Broward","0110","Broward",5135
"G1200130","1920","Florida","120","Calhoun","0130","Calhoun",8775
"G1200170","1920","Florida","120","Citrus","0170","Citrus",5220
"G1200190","1920","Florida","120","Clay","0190","Clay",5621
"G1200230","1920","Florida","120","Columbia","0230","Columbia",14290
"G1200250","1920","Florida","120","Dade","0250","Dade",42753
"G1200270","1920","Florida","120","De Soto","0270","De Soto",25434
"G1200310","1920","Florida","120","Duval","0310","Duval",113540
"G1200330","1920","Florida","120","Escambia","0330","Escambia",49386
"G1200350","1920","Florida","120","Flagler","0350","Flagler",2442
"G1200370","1920","Florida","120","Franklin","0370","Franklin",5318
"G1200390","1920","Florida","120","Gadsden","0390","Gadsden",23539
"G1200470","1920","Florida","120","Hamilton","0470","Hamilton",9873
"G1200530","1920","Florida","120","Hernando","0530","Hernando",4548
"G1200570","1920","Florida","120","Hillsborough","0570","Hillsborough",88257
"G1200590","1920","Florida","120","Holmes","0590","Holmes",12850
"G1200630","1920","Florida","120","Jackson","0630","Jackson",31224
"G1200650","1920","Florida","120","Jefferson","0650","Jefferson",14502
"G1200670","1920","Florida","120","Lafayette","0670","Lafayette",6242
"G1200690","1920","Florida","120","Lake","0690","Lake",12744
"G1200710","1920","Florida","120","Lee","0710","Lee",9540
"G1200730","1920","Florida","120","Leon","0730","Leon",18059
"G1200750","1920","Florida","120","Levy","0750","Levy",9921
"G1200770","1920","Florida","120","Liberty","0770","Liberty",5006
"G1200790","1920","Florida","120","Madison","0790","Madison",16516
"G1200810","1920","Florida","120","Manatee","0810","Manatee",18712
"G1200830","1920","Florida","120","Marion","0830","Marion",23968
"G1200870","1920","Florida","120","Monroe","0870","Monroe",19550
"G1200890","1920","Florida","120","Nassau","0890","Nassau",11340
"G1200910","1920","Florida","120","Okaloosa","0910","Okaloosa",9360
"G1200930","1920","Florida","120","Okeechobee","0930","Okeechobee",2132
"G1200950","1920","Florida","120","Orange","0950","Orange",19890
"G1200970","1920","Florida","120","Osceola","0970","Osceola",7195
"G1200990","1920","Florida","120","Palm Beach","0990","Palm Beach",18654
"G1201010","1920","Florida","120","Pasco","1010","Pasco",8802
"G1201030","1920","Florida","120","Pinellas","1030","Pinellas",28265
"G1201050","1920","Florida","120","Polk","1050","Polk",38661
"G1201070","1920","Florida","120","Putnam","1070","Putnam",14568
"G1201090","1920","Florida","120","St Johns","1090","St Johns",13061
"G1201110","1920","Florida","120","St Lucie","1110","St Lucie",7886
"G1201130","1920","Florida","120","Santa Rosa","1130","Santa Rosa",13670
"G1201170","1920","Florida","120","Seminole","1170","Seminole",10986
"G1201190","1920","Florida","120","Sumter","1190","Sumter",7851
"G1201210","1920","Florida","120","Suwannee","1210","Suwannee",19789
"G1201230","1920","Florida","120","Taylor","1230","Taylor",11219
"G1201270","1920","Florida","120","Volusia","1270","Volusia",23374
"G1201290","1920","Florida","120","Wakulla","1290","Wakulla",5129
"G1201310","1920","Florida","120","Walton","1310","Walton",12119
"G1201330","1920","Florida","120","Washington","1330","Washington",11828
"G1300010","1920","Georgia","130","Appling","0010","Appling",10594
"G1300030","1920","Georgia","130","Atkinson","0030","Atkinson",7656
"G1300050","1920","Georgia","130","Bacon","0050","Bacon",6460
"G1300070","1920","Georgia","130","Baker","0070","Baker",8298
"G1300090","1920","Georgia","130","Baldwin","0090","Baldwin",19791
"G1300110","1920","Georgia","130","Banks","0110","Banks",11814
"G1300130","1920","Georgia","130","Barrow","0130","Barrow",13188
"G1300150","1920","Georgia","130","Bartow","0150","Bartow",24527
"G1300170","1920","Georgia","130","Ben Hill","0170","Ben Hill",14599
"G1300190","1920","Georgia","130","Berrien","0190","Berrien",15573
"G1300210","1920","Georgia","130","Bibb","0210","Bibb",71304
"G1300230","1920","Georgia","130","Bleckley","0230","Bleckley",10532
"G1300270","1920","Georgia","130","Brooks","0270","Brooks",24538
"G1300290","1920","Georgia","130","Bryan","0290","Bryan",6343
"G1300310","1920","Georgia","130","Bulloch","0310","Bulloch",26133
"G1300330","1920","Georgia","130","Burke","0330","Burke",30836
"G1300350","1920","Georgia","130","Butts","0350","Butts",12327
"G1300370","1920","Georgia","130","Calhoun","0370","Calhoun",10225
"G1300390","1920","Georgia","130","Camden","0390","Camden",6969
"G1300395","1920","Georgia","130","Campbell","0395","Campbell",11709
"G1300430","1920","Georgia","130","Candler","0430","Candler",9228
"G1300450","1920","Georgia","130","Carroll","0450","Carroll",34752
"G1300470","1920","Georgia","130","Catoosa","0470","Catoosa",6677
"G1300490","1920","Georgia","130","Charlton","0490","Charlton",4536
"G1300510","1920","Georgia","130","Chatham","0510","Chatham",100032
"G1300530","1920","Georgia","130","Chattahoochee","0530","Chattahoochee",5266
"G1300550","1920","Georgia","130","Chattooga","0550","Chattooga",14312
"G1300570","1920","Georgia","130","Cherokee","0570","Cherokee",18569
"G1300590","1920","Georgia","130","Clarke","0590","Clarke",26111
"G1300610","1920","Georgia","130","Clay","0610","Clay",7557
"G1300630","1920","Georgia","130","Clayton","0630","Clayton",11159
"G1300650","1920","Georgia","130","Clinch","0650","Clinch",7984
"G1300670","1920","Georgia","130","Cobb","0670","Cobb",30437
"G1300690","1920","Georgia","130","Coffee","0690","Coffee",18653
"G1300710","1920","Georgia","130","Colquitt","0710","Colquitt",29332
"G1300730","1920","Georgia","130","Columbia","0730","Columbia",11718
"G1300750","1920","Georgia","130","Cook","0750","Cook",11180
"G1300770","1920","Georgia","130","Coweta","0770","Coweta",29047
"G1300790","1920","Georgia","130","Crawford","0790","Crawford",8893
"G1300810","1920","Georgia","130","Crisp","0810","Crisp",18914
"G1300830","1920","Georgia","130","Dade","0830","Dade",3918
"G1300850","1920","Georgia","130","Dawson","0850","Dawson",4204
"G1300870","1920","Georgia","130","Decatur","0870","Decatur",31785
"G1300890","1920","Georgia","130","DeKalb","0890","De Kalb",44051
"G1300910","1920","Georgia","130","Dodge","0910","Dodge",22540
"G1300930","1920","Georgia","130","Dooly","0930","Dooly",20522
"G1300950","1920","Georgia","130","Dougherty","0950","Dougherty",20063
"G1300970","1920","Georgia","130","Douglas","0970","Douglas",10477
"G1300990","1920","Georgia","130","Early","0990","Early",18983
"G1301010","1920","Georgia","130","Echols","1010","Echols",3313
"G1301030","1920","Georgia","130","Effingham","1030","Effingham",9985
"G1301050","1920","Georgia","130","Elbert","1050","Elbert",23905
"G1301070","1920","Georgia","130","Emanuel","1070","Emanuel",25862
"G1301090","1920","Georgia","130","Evans","1090","Evans",6594
"G1301110","1920","Georgia","130","Fannin","1110","Fannin",12103
"G1301130","1920","Georgia","130","Fayette","1130","Fayette",11396
"G1301150","1920","Georgia","130","Floyd","1150","Floyd",39841
"G1301170","1920","Georgia","130","Forsyth","1170","Forsyth",11755
"G1301190","1920","Georgia","130","Franklin","1190","Franklin",19957
"G1301210","1920","Georgia","130","Fulton","1210","Fulton",232606
"G1301230","1920","Georgia","130","Gilmer","1230","Gilmer",8406
"G1301250","1920","Georgia","130","Glascock","1250","Glascock",4192
"G1301270","1920","Georgia","130","Glynn","1270","Glynn",19370
"G1301290","1920","Georgia","130","Gordon","1290","Gordon",17736
"G1301310","1920","Georgia","130","Grady","1310","Grady",20306
"G1301330","1920","Georgia","130","Greene","1330","Greene",18972
"G1301350","1920","Georgia","130","Gwinnett","1350","Gwinnett",30327
"G1301370","1920","Georgia","130","Habersham","1370","Habersham",10730
"G1301390","1920","Georgia","130","Hall","1390","Hall",26822
"G1301410","1920","Georgia","130","Hancock","1410","Hancock",18357
"G1301430","1920","Georgia","130","Haralson","1430","Haralson",14440
"G1301450","1920","Georgia","130","Harris","1450","Harris",15775
"G1301470","1920","Georgia","130","Hart","1470","Hart",17944
"G1301490","1920","Georgia","130","Heard","1490","Heard",11126
"G1301510","1920","Georgia","130","Henry","1510","Henry",20420
"G1301530","1920","Georgia","130","Houston","1530","Houston",21964
"G1301550","1920","Georgia","130","Irwin","1550","Irwin",12670
"G1301570","1920","Georgia","130","Jackson","1570","Jackson",24654
"G1301590","1920","Georgia","130","Jasper","1590","Jasper",16362
"G1301610","1920","Georgia","130","Jeff Davis","1610","Jeff Davis",7322
"G1301630","1920","Georgia","130","Jefferson","1630","Jefferson",22602
"G1301650","1920","Georgia","130","Jenkins","1650","Jenkins",14328
"G1301670","1920","Georgia","130","Johnson","1670","Johnson",13546
