GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BFQ001
"G1300470","1930","Georgia","130","Catoosa","0470","Catoosa",8985
"G1300490","1930","Georgia","130","Charlton","0490","Charlton",3347
"G1300510","1930","Georgia","130","Chatham","0510","Chatham",55658
"G1300530","1930","Georgia","130","Chattahoochee","0530","Chattahoochee",6213
"G1300550","1930","Georgia","130","Chattooga","0550","Chattooga",13426
"G1300570","1930","Georgia","130","Cherokee","0570","Cherokee",19031
"G1300590","1930","Georgia","130","Clarke","0590","Clarke",15664
"G1300610","1930","Georgia","130","Clay","0610","Clay",2410
"G1300630","1930","Georgia","130","Clayton","0630","Clayton",7010
"G1300650","1930","Georgia","130","Clinch","0650","Clinch",3966
"G1300670","1930","Georgia","130","Cobb","0670","Cobb",28865
"G1300690","1930","Georgia","130","Coffee","0690","Coffee",14492
"G1300710","1930","Georgia","130","Colquitt","0710","Colquitt",22883
"G1300730","1930","Georgia","130","Columbia","0730","Columbia",3257
"G1300750","1930","Georgia","130","Cook","0750","Cook",8234
"G1300770","1930","Georgia","130","Coweta","0770","Coweta",14298
"G1300790","1930","Georgia","130","Crawford","0790","Crawford",3141
"G1300810","1930","Georgia","130","Crisp","0810","Crisp",8974
"G1300830","1930","Georgia","130","Dade","0830","Dade",3940
"G1300850","1930","Georgia","130","Dawson","0850","Dawson",3460
"G1300870","1930","Georgia","130","Decatur","0870","Decatur",11810
"G1300890","1930","Georgia","130","DeKalb","0890","De Kalb",58156
"G1300910","1930","Georgia","130","Dodge","0910","Dodge",13601
"G1300930","1930","Georgia","130","Dooly","0930","Dooly",7961
"G1300950","1930","Georgia","130","Dougherty","0950","Dougherty",9489
"G1300970","1930","Georgia","130","Douglas","0970","Douglas",7190
"G1300990","1930","Georgia","130","Early","0990","Early",8536
"G1301010","1930","Georgia","130","Echols","1010","Echols",1899
"G1301030","1930","Georgia","130","Effingham","1030","Effingham",6010
"G1301050","1930","Georgia","130","Elbert","1050","Elbert",10949
"G1301070","1930","Georgia","130","Emanuel","1070","Emanuel",14990
"G1301090","1930","Georgia","130","Evans","1090","Evans",4496
"G1301110","1930","Georgia","130","Fannin","1110","Fannin",12891
"G1301130","1930","Georgia","130","Fayette","1130","Fayette",5827
"G1301150","1930","Georgia","130","Floyd","1150","Floyd",40037
"G1301170","1930","Georgia","130","Forsyth","1170","Forsyth",10607
"G1301190","1930","Georgia","130","Franklin","1190","Franklin",13230
"G1301210","1930","Georgia","130","Fulton","1210","Fulton",217011
"G1301230","1930","Georgia","130","Gilmer","1230","Gilmer",7332
"G1301250","1930","Georgia","130","Glascock","1250","Glascock",3064
"G1301270","1930","Georgia","130","Glynn","1270","Glynn",11101
"G1301290","1930","Georgia","130","Gordon","1290","Gordon",15735
"G1301310","1930","Georgia","130","Grady","1310","Grady",12573
"G1301330","1930","Georgia","130","Greene","1330","Greene",5988
"G1301350","1930","Georgia","130","Gwinnett","1350","Gwinnett",24509
"G1301370","1930","Georgia","130","Habersham","1370","Habersham",12063
"G1301390","1930","Georgia","130","Hall","1390","Hall",26923
"G1301410","1930","Georgia","130","Hancock","1410","Hancock",3725
"G1301430","1930","Georgia","130","Haralson","1430","Haralson",11950
