GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006
"G1301950","1860","Georgia","130","Madison","1950","Madison",3924,17,1992,0,,
"G1301970","1860","Georgia","130","Marion","1970","Marion",3854,7,3529,0,,
"G1301990","1860","Georgia","130","Meriwether","1990","Meriwether",6578,4,8748,0,,
"G1302010","1860","Georgia","130","Miller","2010","Miller",1151,0,640,0,,
"G1302015","1860","Georgia","130","Milton","2015","Milton",3984,1,617,0,,
"G1302050","1860","Georgia","130","Mitchell","2050","Mitchell",2716,3,1589,0,,
"G1302070","1860","Georgia","130","Monroe","2070","Monroe",5753,23,10177,0,,
"G1302090","1860","Georgia","130","Montgomery","2090","Montgomery",2014,6,977,0,,
"G1302110","1860","Georgia","130","Morgan","2110","Morgan",2983,7,7006,1,,
"G1302130","1860","Georgia","130","Murray","2130","Murray",5639,2,1442,0,,
"G1302150","1860","Georgia","130","Muscogee","2150","Muscogee",8966,173,7445,0,,
"G1302170","1860","Georgia","130","Newton","2170","Newton",7822,40,6458,0,,
"G1302210","1860","Georgia","130","Oglethorpe","2210","Oglethorpe",4014,21,7514,0,,
"G1302230","1860","Georgia","130","Paulding","2230","Paulding",6460,6,572,0,,
"G1302270","1860","Georgia","130","Pickens","2270","Pickens",4705,0,246,0,,
"G1302290","1860","Georgia","130","Pierce","2290","Pierce",1740,0,233,0,,
"G1302310","1860","Georgia","130","Pike","2310","Pike",5332,24,4722,0,,
"G1302330","1860","Georgia","130","Polk","2330","Polk",3853,2,2440,0,,
"G1302350","1860","Georgia","130","Pulaski","2350","Pulaski",4607,31,4106,0,,
"G1302370","1860","Georgia","130","Putnam","2370","Putnam",2956,31,7138,0,,
"G1302390","1860","Georgia","130","Quitman","2390","Quitman",1870,4,1625,0,,
"G1302410","1860","Georgia","130","Rabun","2410","Rabun",3061,4,206,0,,
"G1302430","1860","Georgia","130","Randolph","2430","Randolph",5103,1,4467,0,,
"G1302450","1860","Georgia","130","Richmond","2450","Richmond",12405,490,8389,0,,
"G1302490","1860","Georgia","130","Schley","2490","Schley",2274,11,2348,0,,
"G1302510","1860","Georgia","130","Screven","2510","Screven",3742,2,4530,0,,
