GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV2001
"G0501390","1890","Arkansas","050","Union","1390","Union",6372,6434,4896,0,0,0,0,0,0,0,0,0,8605
"G0501410","1890","Arkansas","050","Van Buren","1410","Van Buren",162,118,119,0,0,0,0,0,0,0,0,0,8405
"G0501430","1890","Arkansas","050","Washington","1430","Washington",1010,944,674,0,0,0,0,0,0,0,6,2,31014
"G0501450","1890","Arkansas","050","White","1450","White",2563,2032,1200,0,0,0,0,0,0,4,1,1,20379
"G0501470","1890","Arkansas","050","Woodruff","1470","Woodruff",7556,4483,2686,1,0,0,0,0,0,0,0,0,6452
"G0501490","1890","Arkansas","050","Yell","1490","Yell",1362,1118,767,0,0,0,0,0,0,1,1,0,16652
"G0600010","1890","California","060","Alameda","0010","Alameda",785,686,81,3311,4386,1939,184,16,0,25,103,111,89559
"G0600030","1890","California","060","Alpine","0030","Alpine",3,1,1,5,17,8,0,0,0,224,0,0,435
"G0600050","1890","California","060","Amador","0050","Amador",26,73,72,324,1115,1627,3,0,0,58,272,0,9909
"G0600070","1890","California","060","Butte","0070","Butte",223,136,84,1530,3793,2082,3,0,0,319,522,40,15864
"G0600090","1890","California","060","Calaveras","0090","Calaveras",77,56,31,326,1037,1441,3,0,0,77,169,18,8399
"G0600110","1890","California","060","Colusa","0110","Colusa",139,97,81,924,970,271,5,0,0,277,353,424,13295
"G0600130","1890","California","060","Contra Costa","0130","Contra Costa",54,33,21,465,732,160,11,1,0,3,47,9,12982
"G0600150","1890","California","060","Del Norte","0150","Del Norte",5,8,12,7,434,217,2,0,0,376,411,784,2202
"G0600170","1890","California","060","El Dorado","0170","El Dorado",183,132,132,518,1484,1560,2,5,22,136,193,6,8393
"G0600190","1890","California","060","Fresno","0190","Fresno",457,40,15,2736,753,427,12,0,0,347,794,2635,28474
"G0600230","1890","California","060","Humboldt","0230","Humboldt",48,23,0,19,241,39,1,0,0,1379,1935,76,22022
"G0600270","1890","California","060","Inyo","0270","Inyo",12,4,8,89,90,29,0,0,0,850,637,311,2593
"G0600290","1890","California","060","Kern","0290","Kern",130,4,4,1124,702,143,3,0,0,337,332,585,8214
"G0600315","1890","California","060","Klamath","0315","Klamath",0,0,2,0,0,542,0,0,0,0,0,61,
"G0600330","1890","California","060","Lake","0330","Lake",41,14,2,210,469,119,0,0,0,556,774,23,6294
"G0600350","1890","California","060","Lassen","0350","Lassen",6,2,0,41,50,17,0,0,0,335,330,1,3857
"G0600370","1890","California","060","Los Angeles","0370","Los Angeles",1817,188,134,4424,1169,234,36,1,2,144,316,219,95033
"G0600410","1890","California","060","Marin","0410","Marin",164,37,22,915,1327,361,24,7,0,31,162,126,11938
"G0600430","1890","California","060","Mariposa","0430","Mariposa",69,63,90,181,697,1084,0,0,0,152,184,34,3385
"G0600450","1890","California","060","Mendocino","0450","Mendocino",35,4,9,359,346,129,1,0,0,581,1265,542,16636
"G0600470","1890","California","060","Merced","0470","Merced",47,59,36,746,575,186,0,0,0,30,7,37,7262
"G0600490","1890","California","060","Modoc","0490","Modoc",12,23,0,22,17,0,0,0,0,499,404,0,4453
"G0600510","1890","California","060","Mono","0510","Mono",3,19,0,146,363,42,0,0,0,368,35,2,1485
"G0600530","1890","California","060","Monterey","0530","Monterey",90,60,16,1667,372,230,1,0,0,58,222,201,16821
"G0600550","1890","California","060","Napa","0550","Napa",89,104,109,875,905,263,6,2,0,15,64,66,15426
"G0600570","1890","California","060","Nevada","0570","Nevada",110,150,165,1053,3003,2627,5,2,0,159,101,8,16042
"G0600590","1890","California","060","Orange","0590","Orange",15,0,0,162,0,0,0,0,0,5,0,0,13407
"G0600610","1890","California","060","Placer","0610","Placer",36,69,95,1429,2190,2410,6,0,0,73,91,2,13557
"G0600630","1890","California","060","Plumas","0630","Plumas",7,9,2,307,871,911,0,1,0,374,538,5,4245
"G0600670","1890","California","060","Sacramento","0670","Sacramento",513,560,475,4371,4892,3595,51,1,1,40,14,34,35364
"G0600690","1890","California","060","San Benito","0690","San Benito",63,6,0,85,242,0,0,0,0,41,81,0,6223
"G0600710","1890","California","060","San Bernardino","0710","San Bernardino",313,17,8,682,123,16,2,0,0,399,658,0,24101
"G0600730","1890","California","060","San Diego","0730","San Diego",376,13,15,909,229,70,13,0,0,478,1702,28,33211
"G0600750","1890","California","060","San Francisco","0750","San Francisco",1847,1628,1330,25833,21745,12022,590,45,8,31,45,54,270696
"G0600770","1890","California","060","San Joaquin","0770","San Joaquin",353,328,223,1676,1997,1629,10,0,0,2,34,5,26588
"G0600790","1890","California","060","San Luis Obispo","0790","San Luis Obispo",457,23,9,386,183,59,2,0,0,47,153,137,15180
"G0600810","1890","California","060","San Mateo","0810","San Mateo",52,34,10,448,596,519,9,0,0,6,8,8,9572
"G0600830","1890","California","060","Santa Barbara","0830","Santa Barbara",26,63,38,581,227,109,5,0,0,73,88,153,15069
"G0600850","1890","California","060","Santa Clara","0850","Santa Clara",989,161,173,2723,2695,1525,27,0,0,19,73,12,44247
"G0600870","1890","California","060","Santa Cruz","0870","Santa Cruz",62,63,53,785,523,156,19,0,0,10,131,2,18394
"G0600890","1890","California","060","Shasta","0890","Shasta",221,54,44,342,1334,574,2,1,0,693,1037,26,10875
"G0600910","1890","California","060","Sierra","0910","Sierra",12,22,28,488,1252,810,0,0,0,10,12,0,4541
"G0600930","1890","California","060","Siskiyou","0930","Siskiyou",117,88,29,1151,1568,1440,0,0,0,710,493,50,10185
"G0600950","1890","California","060","Solano","0950","Solano",97,72,78,1522,993,920,26,2,0,11,21,3,19290
"G0600970","1890","California","060","Sonoma","0970","Sonoma",45,60,77,1145,904,473,74,0,0,297,339,85,31160
"G0600990","1890","California","060","Stanislaus","0990","Stanislaus",61,20,4,421,518,306,0,0,0,12,27,0,9546
"G0601010","1890","California","060","Sutter","1010","Sutter",47,35,31,327,266,208,0,0,0,1,13,0,5094
"G0601030","1890","California","060","Tehama","1030","Tehama",252,142,73,892,774,294,0,0,0,101,167,54,8671
"G0601050","1890","California","060","Trinity","1050","Trinity",27,7,23,554,1951,1099,0,0,0,193,261,140,2945
"G0601070","1890","California","060","Tulare","1070","Tulare",207,80,39,954,324,99,2,2,0,178,118,4,23233
"G0601090","1890","California","060","Tuolumne","1090","Tuolumne",52,84,67,253,805,1524,0,0,0,218,347,3,5559
"G0601110","1890","California","060","Ventura","1110","Ventura",110,15,0,451,129,0,1,0,0,91,80,0,9418
"G0601130","1890","California","060","Yolo","1130","Yolo",122,102,69,604,608,395,5,0,0,41,47,117,11912
"G0601150","1890","California","060","Yuba","1150","Yuba",218,247,152,974,2146,2337,1,0,0,27,67,0,8416
"G0800050","1890","Colorado","080","Arapahoe","0050","Arapahoe",3254,1083,257,980,238,4,9,0,0,47,1,2,127845
"G0800070","1890","Colorado","080","Archuleta","0070","Archuleta",3,0,0,0,0,0,0,0,0,0,0,0,823
"G0800090","1890","Colorado","080","Baca","0090","Baca",0,0,0,0,0,0,0,0,0,0,0,0,1479
"G0800110","1890","Colorado","080","Bent","0110","Bent",11,42,11,1,2,0,0,0,0,3,17,11,1298
"G0800130","1890","Colorado","080","Boulder","0130","Boulder",69,49,1,11,18,0,0,0,0,1,0,0,14001
"G0800150","1890","Colorado","080","Chaffee","0150","Chaffee",66,70,0,14,6,0,0,0,0,0,1,0,6532
"G0800170","1890","Colorado","080","Cheyenne","0170","Cheyenne",2,0,0,0,0,0,0,0,0,0,0,0,532
"G0800190","1890","Colorado","080","Clear Creek","0190","Clear Creek",86,94,22,7,17,2,0,0,0,0,0,0,7091
"G0800210","1890","Colorado","080","Conejos","0210","Conejos",30,17,0,0,9,0,0,0,0,10,21,34,7153
"G0800230","1890","Colorado","080","Costilla","0230","Costilla",4,7,1,0,0,0,0,0,0,4,20,17,3483
"G0800270","1890","Colorado","080","Custer","0270","Custer",6,40,0,0,9,0,0,0,0,0,6,0,2964
"G0800290","1890","Colorado","080","Delta","0290","Delta",2,0,0,0,0,0,0,0,0,0,0,0,2532
"G0800330","1890","Colorado","080","Dolores","0330","Dolores",14,0,0,0,0,0,0,0,0,1,0,0,1483
"G0800350","1890","Colorado","080","Douglas","0350","Douglas",20,17,2,1,0,0,0,0,0,0,1,1,2985
"G0800370","1890","Colorado","080","Eagle","0370","Eagle",1,0,0,1,0,0,0,0,0,0,0,0,3723
"G0800390","1890","Colorado","080","Elbert","0390","Elbert",24,7,0,0,1,0,0,0,0,0,0,0,1832
"G0800410","1890","Colorado","080","El Paso","0410","El Paso",571,159,1,69,16,0,1,0,0,1,3,0,20597
"G0800430","1890","Colorado","080","Fremont","0430","Fremont",85,72,1,6,4,0,0,0,0,3,0,0,9062
"G0800450","1890","Colorado","080","Garfield","0450","Garfield",48,0,0,0,0,0,0,0,0,0,0,0,4430
"G0800470","1890","Colorado","080","Gilpin","0470","Gilpin",54,71,60,49,124,1,0,0,0,1,1,0,5763
"G0800490","1890","Colorado","080","Grand","0490","Grand",2,4,0,0,0,0,0,0,0,0,0,0,602
"G0800495","1890","Colorado","080","Greenwood","0495","Greenwood",0,0,31,0,0,0,0,0,0,0,0,0,
"G0800510","1890","Colorado","080","Gunnison","0510","Gunnison",48,46,0,4,0,0,0,0,0,0,0,0,4307
"G0800530","1890","Colorado","080","Hinsdale","0530","Hinsdale",8,16,0,0,3,0,0,0,0,1,0,0,853
"G0800550","1890","Colorado","080","Huerfano","0550","Huerfano",40,0,2,3,0,0,0,0,0,4,10,31,6835
"G0800590","1890","Colorado","080","Jefferson","0590","Jefferson",19,34,20,9,2,0,0,0,0,0,0,0,8422
"G0800610","1890","Colorado","080","Kiowa","0610","Kiowa",15,0,0,0,0,0,0,0,0,0,0,0,1228
"G0800630","1890","Colorado","080","Kit Carson","0630","Kit Carson",0,0,0,0,0,0,0,0,0,0,0,0,2472
"G0800650","1890","Colorado","080","Lake","0650","Lake",209,298,1,0,0,0,0,0,0,0,7,0,14454
