GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZ2001
"G0600230","1900","California","060","Humboldt","0230","Humboldt",25359
"G0600270","1900","California","060","Inyo","0270","Inyo",3355
"G0600290","1900","California","060","Kern","0290","Kern",14974
"G0600310","1900","California","060","Kings","0310","Kings",9171
"G0600330","1900","California","060","Lake","0330","Lake",5492
"G0600350","1900","California","060","Lassen","0350","Lassen",4099
"G0600370","1900","California","060","Los Angeles","0370","Los Angeles",163975
"G0600390","1900","California","060","Madera","0390","Madera",5664
"G0600410","1900","California","060","Marin","0410","Marin",14999
"G0600430","1900","California","060","Mariposa","0430","Mariposa",4410
"G0600450","1900","California","060","Mendocino","0450","Mendocino",18833
"G0600470","1900","California","060","Merced","0470","Merced",8780
"G0600490","1900","California","060","Modoc","0490","Modoc",4560
"G0600510","1900","California","060","Mono","0510","Mono",1656
"G0600530","1900","California","060","Monterey","0530","Monterey",17707
"G0600550","1900","California","060","Napa","0550","Napa",15857
"G0600570","1900","California","060","Nevada","0570","Nevada",17024
"G0600590","1900","California","060","Orange","0590","Orange",19459
"G0600610","1900","California","060","Placer","0610","Placer",14494
"G0600630","1900","California","060","Plumas","0630","Plumas",4018
"G0600650","1900","California","060","Riverside","0650","Riverside",16421
"G0600670","1900","California","060","Sacramento","0670","Sacramento",40917
"G0600690","1900","California","060","San Benito","0690","San Benito",6456
"G0600710","1900","California","060","San Bernardino","0710","San Bernardino",26605
"G0600730","1900","California","060","San Diego","0730","San Diego",32048
"G0600750","1900","California","060","San Francisco","0750","San Francisco",325378
"G0600770","1900","California","060","San Joaquin","0770","San Joaquin",32941
"G0600790","1900","California","060","San Luis Obispo","0790","San Luis Obispo",16389
"G0600810","1900","California","060","San Mateo","0810","San Mateo",11652
"G0600830","1900","California","060","Santa Barbara","0830","Santa Barbara",18256
"G0600850","1900","California","060","Santa Clara","0850","Santa Clara",57934
"G0600870","1900","California","060","Santa Cruz","0870","Santa Cruz",20515
"G0600890","1900","California","060","Shasta","0890","Shasta",16131
"G0600910","1900","California","060","Sierra","0910","Sierra",3669
"G0600930","1900","California","060","Siskiyou","0930","Siskiyou",15646
"G0600950","1900","California","060","Solano","0950","Solano",22267
"G0600970","1900","California","060","Sonoma","0970","Sonoma",37385
"G0600990","1900","California","060","Stanislaus","0990","Stanislaus",9223
"G0601010","1900","California","060","Sutter","1010","Sutter",5451
"G0601030","1900","California","060","Tehama","1030","Tehama",9878
"G0601050","1900","California","060","Trinity","1050","Trinity",3803
"G0601070","1900","California","060","Tulare","1070","Tulare",17709
"G0601090","1900","California","060","Tuolumne","1090","Tuolumne",10804
"G0601110","1900","California","060","Ventura","1110","Ventura",13826
"G0601130","1900","California","060","Yolo","1130","Yolo",12662
"G0601150","1900","California","060","Yuba","1150","Yuba",7651
"G0609015","1900","California","060","Hupa Valley Indian Reservation","9015","Hupa Valley Indian Reservation",
"G0609035","1900","California","060","Mission Indian Reservation","9035","Mission Indian Reservation",
"G0609055","1900","California","060","Round Valley Indian Reservation","9055","Round Valley Indian Reservation",
"G0609075","1900","California","060","Tule River Indian Reservation","9075","Tule River Indian Reservation",
"G0800050","1900","Colorado","080","Arapahoe","0050","Arapahoe",148579
"G0800070","1900","Colorado","080","Archuleta","0070","Archuleta",2115
"G0800090","1900","Colorado","080","Baca","0090","Baca",758
"G0800110","1900","Colorado","080","Bent","0110","Bent",3007
"G0800130","1900","Colorado","080","Boulder","0130","Boulder",21396
"G0800150","1900","Colorado","080","Chaffee","0150","Chaffee",7022
"G0800170","1900","Colorado","080","Cheyenne","0170","Cheyenne",480
"G0800190","1900","Colorado","080","Clear Creek","0190","Clear Creek",7008
"G0800210","1900","Colorado","080","Conejos","0210","Conejos",8755
"G0800230","1900","Colorado","080","Costilla","0230","Costilla",4613
"G0800270","1900","Colorado","080","Custer","0270","Custer",2931
"G0800290","1900","Colorado","080","Delta","0290","Delta",5485
"G0800330","1900","Colorado","080","Dolores","0330","Dolores",1128
"G0800350","1900","Colorado","080","Douglas","0350","Douglas",3112
"G0800370","1900","Colorado","080","Eagle","0370","Eagle",3004
"G0800390","1900","Colorado","080","Elbert","0390","Elbert",3093
"G0800410","1900","Colorado","080","El Paso","0410","El Paso",30527
"G0800430","1900","Colorado","080","Fremont","0430","Fremont",15456
"G0800450","1900","Colorado","080","Garfield","0450","Garfield",5787
"G0800470","1900","Colorado","080","Gilpin","0470","Gilpin",6623
"G0800490","1900","Colorado","080","Grand","0490","Grand",740
"G0800510","1900","Colorado","080","Gunnison","0510","Gunnison",5282
"G0800530","1900","Colorado","080","Hinsdale","0530","Hinsdale",1587
"G0800550","1900","Colorado","080","Huerfano","0550","Huerfano",8259
"G0800590","1900","Colorado","080","Jefferson","0590","Jefferson",9237
"G0800610","1900","Colorado","080","Kiowa","0610","Kiowa",701
"G0800630","1900","Colorado","080","Kit Carson","0630","Kit Carson",1580
"G0800650","1900","Colorado","080","Lake","0650","Lake",17850
"G0800670","1900","Colorado","080","La Plata","0670","La Plata",6389
"G0800690","1900","Colorado","080","Larimer","0690","Larimer",12138
"G0800710","1900","Colorado","080","Las Animas","0710","Las Animas",21663
"G0800730","1900","Colorado","080","Lincoln","0730","Lincoln",908
"G0800750","1900","Colorado","080","Logan","0750","Logan",3289
"G0800770","1900","Colorado","080","Mesa","0770","Mesa",9017
"G0800790","1900","Colorado","080","Mineral","0790","Mineral",1905
"G0800830","1900","Colorado","080","Montezuma","0830","Montezuma",2498
"G0800850","1900","Colorado","080","Montrose","0850","Montrose",4521
"G0800870","1900","Colorado","080","Morgan","0870","Morgan",3260
"G0800890","1900","Colorado","080","Otero","0890","Otero",11420
"G0800910","1900","Colorado","080","Ouray","0910","Ouray",4686
"G0800930","1900","Colorado","080","Park","0930","Park",2956
"G0800950","1900","Colorado","080","Phillips","0950","Phillips",1583
"G0800970","1900","Colorado","080","Pitkin","0970","Pitkin",6993
"G0800990","1900","Colorado","080","Prowers","0990","Prowers",3723
"G0801010","1900","Colorado","080","Pueblo","1010","Pueblo",32991
"G0801030","1900","Colorado","080","Rio Blanco","1030","Rio Blanco",1683
"G0801050","1900","Colorado","080","Rio Grande","1050","Rio Grande",4070
"G0801070","1900","Colorado","080","Routt","1070","Routt",3657
"G0801090","1900","Colorado","080","Saguache","1090","Saguache",3853
"G0801110","1900","Colorado","080","San Juan","1110","San Juan",2308
"G0801130","1900","Colorado","080","San Miguel","1130","San Miguel",5306
"G0801150","1900","Colorado","080","Sedgwick","1150","Sedgwick",965
"G0801170","1900","Colorado","080","Summit","1170","Summit",2734
"G0801190","1900","Colorado","080","Teller","1190","Teller",28690
"G0801210","1900","Colorado","080","Washington","1210","Washington",1212
"G0801230","1900","Colorado","080","Weld","1230","Weld",16784
