GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A3Y001,A3Y002
"G0801170","1910","Colorado","080","Summit","1170","Summit",2003,2744
"G0801190","1910","Colorado","080","Teller","1190","Teller",14351,29002
"G0801210","1910","Colorado","080","Washington","1210","Washington",6002,
"G0801230","1910","Colorado","080","Weld","1230","Weld",39177,16808
"G0801250","1910","Colorado","080","Yuma","1250","Yuma",8499,
"G0900010","1910","Connecticut","090","Fairfield","0010","Fairfield",245322,184203
"G0900030","1910","Connecticut","090","Hartford","0030","Hartford",250182,195480
"G0900050","1910","Connecticut","090","Litchfield","0050","Litchfield",70260,63672
"G0900070","1910","Connecticut","090","Middlesex","0070","Middlesex",45637,41760
"G0900090","1910","Connecticut","090","New Haven","0090","New Haven",337282,269163
"G0900110","1910","Connecticut","090","New London","0110","New London",91253,82758
"G0900130","1910","Connecticut","090","Tolland","0130","Tolland",26459,24523
"G0900150","1910","Connecticut","090","Windham","0150","Windham",48361,46861
"G1000010","1910","Delaware","100","Kent","0010","Kent",32721,32762
"G1000030","1910","Delaware","100","New Castle","0030","New Castle",123188,109697
"G1000050","1910","Delaware","100","Sussex","0050","Sussex",46413,42276
"G1100010","1910","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",331069,278718
"G1200010","1910","Florida","120","Alachua","0010","Alachua",34305,32245
"G1200030","1910","Florida","120","Baker","0030","Baker",4805,4516
"G1200070","1910","Florida","120","Bradford","0070","Bradford",14090,10295
"G1200090","1910","Florida","120","Brevard","0090","Brevard",4717,3327
"G1200130","1910","Florida","120","Calhoun","0130","Calhoun",7465,5132
"G1200170","1910","Florida","120","Citrus","0170","Citrus",6731,5391
"G1200190","1910","Florida","120","Clay","0190","Clay",6116,5635
"G1200230","1910","Florida","120","Columbia","0230","Columbia",17689,17094
"G1200250","1910","Florida","120","Dade","0250","Dade",11933,3888
"G1200270","1910","Florida","120","De Soto","0270","De Soto",14200,8047
"G1200310","1910","Florida","120","Duval","0310","Duval",75163,39733
"G1200330","1910","Florida","120","Escambia","0330","Escambia",38029,28313
"G1200370","1910","Florida","120","Franklin","0370","Franklin",5201,4890
"G1200390","1910","Florida","120","Gadsden","0390","Gadsden",22198,15294
"G1200470","1910","Florida","120","Hamilton","0470","Hamilton",11825,11881
"G1200530","1910","Florida","120","Hernando","0530","Hernando",4997,3638
"G1200570","1910","Florida","120","Hillsborough","0570","Hillsborough",78374,36013
"G1200590","1910","Florida","120","Holmes","0590","Holmes",11557,7762
"G1200630","1910","Florida","120","Jackson","0630","Jackson",29821,23377
"G1200650","1910","Florida","120","Jefferson","0650","Jefferson",17210,16195
"G1200670","1910","Florida","120","Lafayette","0670","Lafayette",6710,4987
"G1200690","1910","Florida","120","Lake","0690","Lake",9509,7467
"G1200710","1910","Florida","120","Lee","0710","Lee",6294,3071
"G1200730","1910","Florida","120","Leon","0730","Leon",19427,19887
"G1200750","1910","Florida","120","Levy","0750","Levy",10361,8603
"G1200770","1910","Florida","120","Liberty","0770","Liberty",4700,2956
"G1200790","1910","Florida","120","Madison","0790","Madison",16919,15446
"G1200810","1910","Florida","120","Manatee","0810","Manatee",9550,4663
"G1200830","1910","Florida","120","Marion","0830","Marion",26941,24403
"G1200870","1910","Florida","120","Monroe","0870","Monroe",21563,18006
